id,status_group
36478,non functional
15873,functional
49347,functional
59362,functional
72064,functional
68040,functional
12662,functional
55423,functional
11899,functional
17832,functional
20046,functional needs repair
2956,non functional
70224,functional
49579,functional
55535,non functional
8208,functional
3107,functional
24121,functional
14465,non functional
15203,functional
20633,non functional
28177,functional
73636,non functional
48897,functional
69154,non functional
10231,functional
73253,functional
71211,functional needs repair
65961,functional
37404,non functional
27281,non functional
34406,non functional
58543,functional
3405,non functional
26705,non functional
57997,functional
59458,functional
1872,functional
52704,functional
10421,non functional
28045,non functional
41119,functional
50737,non functional
21519,functional needs repair
53385,non functional
6653,non functional
61961,non functional
19902,non functional
26238,functional
41241,functional
32661,non functional
70248,non functional
73627,functional
39033,functional
16654,non functional
52305,non functional
6033,non functional
62439,functional
53788,functional
67163,functional
12352,functional needs repair
2539,functional
55960,non functional
28871,non functional
9493,non functional
38214,functional
69997,non functional
37772,functional
38614,functional needs repair
67624,functional
11149,functional
47445,non functional
51389,functional
10612,non functional
51363,non functional
16976,non functional
71601,functional
26938,non functional
7175,functional needs repair
16781,functional
32617,non functional
12161,non functional
37172,functional needs repair
30100,functional
1359,non functional
6673,non functional
10785,functional needs repair
30665,non functional
20942,functional needs repair
47047,non functional
30195,functional
10443,functional
30310,functional
3329,functional
22778,functional needs repair
24861,functional
40779,non functional
16267,functional needs repair
62379,functional
41400,functional
50873,non functional
30559,functional
8684,functional
72254,functional
39342,non functional
10965,functional
63596,functional
2885,functional
14627,functional
2744,functional
52270,functional
12840,functional
70516,functional
640,functional
42810,non functional
22585,non functional
33168,functional needs repair
55187,functional
20218,functional
54870,non functional
56096,functional needs repair
24943,non functional
49506,non functional
38158,non functional
34325,non functional
74039,non functional
37921,functional
47395,functional needs repair
12824,non functional
26603,functional
28196,functional
52741,non functional
55282,functional
55142,non functional
50960,functional
57500,non functional
35340,non functional
31890,non functional
593,functional
6861,non functional
39590,functional
34161,non functional
45690,non functional
72766,non functional
9251,non functional
32466,non functional
23957,non functional
10610,non functional
55752,functional
64947,functional
104,non functional
60644,non functional
11160,functional
60715,functional
28992,functional
66918,non functional
14442,functional
14430,non functional
35347,non functional
33807,functional
5986,functional
33784,functional
52640,non functional
9405,functional
62326,non functional
41380,functional needs repair
18426,non functional
10778,non functional
30579,functional
8911,non functional
22758,non functional
6572,functional
37047,non functional
15700,functional needs repair
32101,non functional
41503,non functional
45890,functional
71957,functional needs repair
27250,functional needs repair
71061,functional
59658,functional
30678,functional needs repair
17051,non functional
22714,functional
61930,non functional
44092,functional
2946,functional
29044,non functional
74205,functional
11133,functional needs repair
25414,functional
48290,non functional
57670,non functional
35909,non functional
52944,functional
54636,non functional
22611,functional
67333,functional
54949,functional
52057,non functional
18139,functional
18357,non functional
54480,non functional
27812,non functional
25012,functional
53938,functional
20753,functional
5348,non functional
55182,functional
38048,non functional
64700,functional
36867,functional
3125,functional
728,functional
28875,functional
44069,functional
25918,non functional
580,functional
22595,non functional
72232,functional needs repair
19298,functional
53233,functional needs repair
58921,functional
64948,functional
16585,functional
41054,functional
61915,functional
54940,functional needs repair
14501,functional
42638,functional needs repair
26339,non functional
19581,functional
59483,non functional
9030,non functional
38887,functional
54187,non functional
60350,non functional
22409,functional
64015,functional
10458,non functional
25318,non functional
14662,non functional
43791,functional
12736,non functional
28881,functional
11619,functional
21443,functional needs repair
19852,non functional
49449,functional
56359,functional
19894,functional
28944,non functional
68093,non functional
29312,non functional
597,functional
8926,non functional
39131,functional
43684,functional
63758,non functional
68633,functional
57849,non functional
15295,functional
44990,functional
61373,non functional
39594,functional needs repair
45449,functional
62583,non functional
39495,functional
61726,non functional
5583,non functional
28488,functional
12732,functional
69822,non functional
8304,functional
2523,functional
14480,non functional
27113,functional
44428,functional
3902,functional needs repair
63642,functional
2037,non functional
44876,non functional
12356,functional
47423,functional needs repair
51944,functional
9956,non functional
23115,functional
57127,functional
17305,non functional
36075,functional
44667,non functional
47197,functional
16124,functional
182,functional
67457,functional
50968,functional needs repair
57292,functional
48138,functional
34810,functional
65152,non functional
61334,functional
33994,functional
47504,non functional
41462,non functional
49929,functional
13442,functional
14774,functional
57115,functional needs repair
17942,functional
62270,functional
64205,functional
15533,functional
15745,functional
21037,non functional
7489,non functional
19399,non functional
52223,functional
48051,non functional
9716,functional
36166,non functional
6226,non functional
13664,functional needs repair
22243,functional
27806,non functional
61448,functional
44297,functional
15095,functional
37063,functional
66959,functional
45779,functional
28139,functional
34397,functional
39718,functional
65762,functional
68859,functional
55221,functional
10276,functional
36272,functional
12097,functional
60217,functional
45453,functional
57096,functional
57738,functional needs repair
26833,functional
30692,functional
60184,functional
67134,functional
23978,functional needs repair
59890,functional needs repair
53621,non functional
17138,functional
73642,functional
36100,functional
63046,functional
15156,non functional
69373,non functional
60385,functional
16561,non functional
40459,non functional
18334,non functional
57884,non functional
68518,non functional
10629,functional
59492,functional needs repair
67587,functional
43290,functional
48080,functional
73575,non functional
33797,non functional
15615,non functional
33476,functional
8452,non functional
8719,functional
34942,functional
10640,functional
67174,non functional
18907,functional
65736,functional
7163,non functional
69211,functional needs repair
52828,functional
35254,functional
28009,non functional
41265,functional needs repair
40802,functional
66984,non functional
46445,functional
20288,functional
72601,non functional
55063,non functional
24618,non functional
66394,non functional
47586,functional
9853,functional
45336,non functional
18821,non functional
60156,non functional
7746,functional needs repair
52245,functional
24498,functional
13578,non functional
36696,non functional
18672,functional
59872,non functional
52628,functional
68711,non functional
22270,non functional
14797,functional
23217,functional
19202,functional
20152,non functional
41254,functional
66335,non functional
15325,functional
63667,functional
31767,functional
41724,non functional
65732,functional
12268,functional
4123,functional
24474,functional
16604,non functional
35730,non functional
33208,functional needs repair
22421,functional
26695,functional
4063,non functional
54084,functional
46468,non functional
10619,functional
45514,functional
15820,functional
39347,functional
22039,non functional
25499,functional
40510,non functional
24901,non functional
53796,non functional
65099,non functional
32125,functional
6094,functional
11891,functional
33873,functional
46391,non functional
16583,functional
36669,functional
15522,functional
50095,functional
34925,non functional
55828,functional
11987,functional
47089,non functional
35011,functional
3387,functional
6659,functional
39908,functional
54509,functional
57939,non functional
52362,functional
23706,functional
4995,non functional
34742,non functional
10278,functional
4301,non functional
30364,functional
32756,functional
20713,functional
19953,functional
69837,functional needs repair
43910,functional
47118,non functional
4804,functional needs repair
29258,functional
37656,functional
46119,non functional
9634,functional
38024,functional
23458,non functional
9027,functional
72709,functional
60841,functional
25924,functional
71995,non functional
12854,non functional
38489,functional needs repair
48703,functional
29919,non functional
8355,functional
56226,non functional
45946,non functional
6937,functional
71121,non functional
7256,non functional
20694,functional needs repair
44548,functional
68696,functional
49840,functional
5429,non functional
17031,non functional
31934,functional
38534,non functional
37705,functional
29923,functional
63079,non functional
57471,functional
52647,functional
9081,functional
30473,functional
61268,non functional
55473,non functional
47132,functional
6870,non functional
32429,functional
16797,non functional
25742,functional
53316,functional needs repair
16020,functional needs repair
5727,functional
2529,functional
58395,functional
63083,non functional
69545,functional
36203,functional
448,functional
24467,non functional
49984,functional
65071,non functional
29914,functional
26878,functional
43911,functional needs repair
8049,functional needs repair
26642,functional
20878,non functional
67747,non functional
56783,non functional
5187,functional
18756,non functional
57701,non functional
37532,functional
23953,functional
58516,functional
16765,non functional
1511,functional
13594,non functional
61609,functional
72781,non functional
9129,non functional
69752,functional
66169,functional needs repair
28514,functional
24648,functional
23525,functional
17414,functional
64591,functional
65141,non functional
26324,non functional
11119,functional
55940,functional
39119,functional
22025,non functional
11152,non functional
17700,functional needs repair
5283,functional
39008,functional
49187,functional needs repair
65981,non functional
47750,functional
39479,functional
72682,functional
49013,non functional
64794,functional
28878,functional
57722,non functional
32926,non functional
7733,functional needs repair
35647,non functional
64790,non functional
18188,functional
38457,non functional
6538,non functional
60063,non functional
23189,functional
49621,non functional
47936,functional
59819,functional
4896,functional needs repair
12051,non functional
32946,non functional
35614,functional
45990,functional
53115,non functional
69442,functional
36007,non functional
18840,functional
4952,functional
23672,non functional
14195,functional
70135,non functional
6703,functional
14563,functional needs repair
29242,functional
22113,non functional
52738,non functional
69344,non functional
19542,non functional
11333,functional
15145,non functional
39660,functional
65468,functional
19930,functional
12332,functional
43029,non functional
16730,non functional
46061,functional
2558,functional
60586,functional
58769,functional
20943,non functional
30739,functional
71670,functional
52544,functional
58723,functional
28455,functional
68682,non functional
23945,functional
28985,non functional
49728,functional
65774,functional
27599,non functional
7710,functional
37791,functional needs repair
47901,non functional
13855,functional
54901,functional
18657,functional needs repair
61402,non functional
34515,non functional
36469,non functional
34216,functional
53222,non functional
8680,functional
397,functional
10094,non functional
54998,non functional
13613,non functional
27801,functional
60270,functional
11952,functional needs repair
69336,non functional
72445,non functional
37252,non functional
10042,non functional
2092,non functional
62168,functional needs repair
58340,functional
22651,functional
443,functional
35814,non functional
65750,functional
33596,functional
56552,functional
36575,functional
70294,functional
13280,functional
54375,non functional
41679,non functional
28356,functional
34521,functional
31066,functional
37260,non functional
45991,non functional
5073,functional
53386,functional
73259,functional
27906,non functional
33802,functional
1918,functional
45343,functional
17278,non functional
32087,functional
68100,functional
19305,non functional
61519,functional
27143,functional
1061,non functional
57698,non functional
73953,non functional
50159,functional
9051,non functional
72094,functional needs repair
74166,functional
25531,non functional
51260,functional
23101,functional
73464,non functional
42876,non functional
56311,non functional
42387,non functional
30960,functional
60924,functional
9100,functional
66538,functional needs repair
41594,non functional
54571,functional needs repair
23555,non functional
57478,functional
13107,functional
4977,functional
147,non functional
21282,non functional
70935,functional needs repair
66805,functional
12632,functional
31781,functional
57003,functional needs repair
37495,non functional
68729,functional
24904,non functional
14307,non functional
47547,non functional
34991,functional needs repair
73455,functional needs repair
38577,functional
60503,non functional
23682,functional needs repair
21302,functional
50357,non functional
27460,functional
36022,non functional
34949,non functional
11054,functional
33169,non functional
3031,functional
1175,functional
2815,functional
5269,functional
69880,non functional
67886,functional
28113,functional
37618,non functional
43213,functional
5133,functional
41823,non functional
38246,non functional
25246,non functional
19276,functional
19720,functional
32085,functional
7155,functional
39689,non functional
56458,functional
1132,non functional
35193,non functional
45046,functional
62685,non functional
44073,non functional
26328,non functional
38900,functional
29857,functional
17551,non functional
4100,functional
11871,non functional
14978,non functional
12586,non functional
5466,non functional
22051,non functional
21634,functional
15323,non functional
18706,functional needs repair
32187,functional needs repair
45102,non functional
47877,functional
38520,functional
66580,functional
44018,functional
52808,non functional
25415,functional
5679,non functional
58414,non functional
70802,non functional
178,functional
5718,functional
53804,functional
70020,non functional
33615,non functional
64919,functional
61750,functional
28649,functional
60073,non functional
5266,non functional
72892,non functional
28440,functional
56870,functional
16723,functional
10199,functional needs repair
51072,non functional
981,non functional
39922,non functional
25858,functional
2011,functional
51764,non functional
68776,functional needs repair
400,non functional
20729,non functional
5398,functional
16897,functional
1277,functional
11758,non functional
54123,non functional
46786,functional
15916,non functional
30475,functional
1318,functional needs repair
35833,functional
41672,non functional
4372,functional
17238,functional
14049,non functional
7059,non functional
7957,functional
69052,non functional
24253,functional
41456,functional
42373,functional
45982,functional
26042,functional
44931,functional
34604,functional
14664,non functional
57268,non functional
12371,functional
6401,functional
45442,functional
47034,functional
56014,functional
7523,functional needs repair
35001,functional
72997,non functional
12664,non functional
42725,non functional
47739,non functional
44206,functional
12827,functional
63081,functional
67515,functional
30525,functional
55741,functional
11974,non functional
36000,non functional
2975,functional
29113,non functional
31325,functional
53981,functional
73969,functional
61511,non functional
5518,non functional
43841,non functional
55441,non functional
60111,functional
10529,non functional
34973,functional
72089,non functional
54593,non functional
28457,functional
31005,non functional
30070,non functional
23849,functional
49637,non functional
14238,functional
14952,non functional
4351,non functional
20543,non functional
2076,functional
33181,non functional
29009,functional
74187,functional
32888,functional
50825,non functional
50337,non functional
40540,functional
56765,functional
23376,functional
34899,functional
34589,functional
6076,functional
60870,functional
47989,non functional
38215,non functional
4862,functional
8721,non functional
38270,functional needs repair
11759,functional needs repair
23981,functional
73399,functional needs repair
16121,functional
37434,functional
25039,non functional
33015,non functional
44382,functional
4320,functional
68135,functional
11898,functional
8814,functional
29962,functional
4835,non functional
28081,non functional
34416,functional
72280,functional
6001,functional needs repair
36144,functional
40055,non functional
2008,functional
61025,functional
9946,non functional
17529,functional
69789,non functional
46766,non functional
17141,functional
70650,functional
70913,functional
56214,functional
5734,functional
6851,functional
20181,non functional
1118,functional
73211,non functional
18210,functional
40941,non functional
1786,functional
49057,functional
